날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,4295.0,50.0,4245.0,4300.0,4220.0,3090.0
2010.01.08,4295.0,0.0,4295.0,4315.0,4250.0,2290.0
2010.01.11,4260.0,35.0,4240.0,4280.0,4040.0,12340.0
2010.01.12,4245.0,15.0,4315.0,4315.0,4185.0,4920.0
2010.01.13,4210.0,35.0,4205.0,4270.0,4205.0,1740.0
2010.01.14,4275.0,65.0,4230.0,4290.0,4230.0,2300.0
2010.01.15,4245.0,30.0,4295.0,4295.0,4195.0,9780.0
2010.01.18,4185.0,60.0,4255.0,4255.0,3610.0,14057.0
2010.01.19,4135.0,50.0,4180.0,4180.0,4090.0,2105.0
2010.01.20,4130.0,5.0,4155.0,4155.0,4070.0,3662.0
2010.01.21,4100.0,30.0,4080.0,4115.0,4070.0,3790.0
2010.01.22,4085.0,15.0,4095.0,4100.0,4000.0,4553.0
2010.01.25,4030.0,55.0,4075.0,4075.0,3985.0,8875.0
2010.01.26,4010.0,20.0,4065.0,4100.0,4005.0,5210.0
2010.01.27,4030.0,20.0,4010.0,4040.0,4000.0,1483.0
2010.01.28,4040.0,10.0,4095.0,4095.0,4010.0,4855.0
2010.01.29,4030.0,10.0,3885.0,4030.0,3885.0,2405.0
2010.02.01,4015.0,15.0,4000.0,4015.0,3995.0,991.0
2010.02.02,4020.0,5.0,4045.0,4065.0,3985.0,622.0
2010.02.03,4020.0,0.0,4020.0,4040.0,4020.0,592.0
2010.02.04,4000.0,20.0,4020.0,4060.0,4000.0,1053.0
2010.02.05,3925.0,75.0,4000.0,4000.0,3850.0,9616.0
2010.02.08,3935.0,10.0,3940.0,3940.0,3855.0,640.0
2010.02.09,3950.0,15.0,3945.0,3950.0,3945.0,331.0
2010.02.10,3890.0,60.0,3980.0,4190.0,3850.0,28960.0
2010.02.11,3870.0,20.0,3900.0,3935.0,3865.0,7165.0
2010.02.12,3900.0,30.0,3880.0,3900.0,3870.0,3606.0
2010.02.16,3915.0,15.0,3880.0,3920.0,3860.0,1970.0
2010.02.17,3930.0,15.0,3915.0,4000.0,3900.0,3615.0
2010.02.18,4030.0,100.0,3930.0,4035.0,3900.0,2710.0
2010.02.19,4000.0,30.0,4000.0,4055.0,3920.0,3783.0
2010.02.22,4000.0,0.0,4060.0,4075.0,3955.0,2994.0
2010.02.23,3995.0,5.0,3975.0,3995.0,3965.0,635.0
2010.02.24,3965.0,30.0,3990.0,3995.0,3910.0,679.0
2010.02.25,3940.0,25.0,3945.0,3945.0,3915.0,1964.0
2010.02.26,3950.0,10.0,3975.0,3975.0,3850.0,4101.0
2010.03.02,3950.0,0.0,3950.0,3980.0,3910.0,530.0
2010.03.03,3960.0,10.0,3975.0,3975.0,3940.0,110.0
2010.03.04,3915.0,45.0,3985.0,3985.0,3885.0,4270.0
2010.03.05,3910.0,5.0,3925.0,3925.0,3895.0,2190.0
2010.03.08,3900.0,10.0,3915.0,3920.0,3885.0,1400.0
2010.03.09,3900.0,0.0,3890.0,3915.0,3890.0,1951.0
2010.03.10,3900.0,0.0,3915.0,3915.0,3900.0,1391.0
2010.03.11,3920.0,20.0,3905.0,3965.0,3895.0,360.0
2010.03.12,3945.0,25.0,3930.0,3965.0,3930.0,1220.0
2010.03.15,3940.0,5.0,3985.0,3985.0,3900.0,1713.0
2010.03.16,3940.0,0.0,3940.0,3965.0,3925.0,1487.0
2010.03.17,3980.0,40.0,3980.0,3980.0,3930.0,4091.0
2010.03.18,3985.0,5.0,3960.0,4000.0,3935.0,6571.0
2010.03.19,4000.0,15.0,3995.0,4000.0,3970.0,1850.0
2010.03.22,4075.0,75.0,4060.0,4145.0,4020.0,2511.0
2010.03.23,4005.0,70.0,4045.0,4045.0,3990.0,3440.0
2010.03.24,4000.0,5.0,4145.0,4145.0,3985.0,5020.0
2010.03.25,4020.0,20.0,3975.0,4060.0,3975.0,4490.0
2010.03.26,3985.0,35.0,3970.0,4015.0,3970.0,5642.0
2010.03.29,3985.0,0.0,3985.0,4005.0,3980.0,12891.0
2010.03.30,4050.0,65.0,4030.0,4120.0,4010.0,6483.0
2010.03.31,4000.0,50.0,4025.0,4070.0,3970.0,3614.0
2010.04.01,4035.0,35.0,3995.0,4035.0,3925.0,3854.0
2010.04.02,4020.0,15.0,3975.0,4060.0,3975.0,370.0
2010.04.05,4025.0,5.0,3995.0,4030.0,3980.0,4390.0
2010.04.06,4025.0,0.0,3985.0,4185.0,3980.0,11340.0
2010.04.07,4020.0,5.0,4065.0,4065.0,3980.0,6100.0
2010.04.08,3975.0,45.0,4000.0,4020.0,3975.0,13826.0
2010.04.09,3990.0,15.0,3980.0,4010.0,3950.0,5870.0
2010.04.12,4010.0,20.0,4055.0,4055.0,3970.0,7480.0
2010.04.13,4025.0,15.0,4025.0,4060.0,3985.0,6932.0
