날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,10350.0,950.0,9490.0,10650.0,9400.0,1135978.0
2010.01.08,9600.0,750.0,10350.0,10600.0,9570.0,608179.0
2010.01.11,9530.0,70.0,9510.0,9670.0,9400.0,198689.0
2010.01.12,9550.0,20.0,9490.0,9890.0,9490.0,153378.0
2010.01.13,9520.0,30.0,9660.0,9870.0,9450.0,146113.0
2010.01.14,9590.0,70.0,9850.0,10200.0,9580.0,275819.0
2010.01.15,9900.0,310.0,9610.0,10100.0,9590.0,442800.0
2010.01.18,10200.0,300.0,10000.0,10400.0,9830.0,413674.0
2010.01.19,10600.0,400.0,10200.0,11450.0,9990.0,1179983.0
2010.01.20,10050.0,550.0,10500.0,10850.0,10050.0,789270.0
2010.01.21,9830.0,220.0,10100.0,10150.0,9810.0,269150.0
2010.01.22,9950.0,120.0,9920.0,9950.0,9660.0,193537.0
2010.01.25,9770.0,180.0,9800.0,10050.0,9770.0,195642.0
2010.01.26,9480.0,290.0,9850.0,10100.0,8600.0,226898.0
2010.01.27,9240.0,240.0,9410.0,9530.0,9080.0,149954.0
2010.01.28,9170.0,70.0,9200.0,9370.0,8990.0,107660.0
2010.01.29,8770.0,400.0,9030.0,9140.0,8770.0,122164.0
2010.02.01,9100.0,330.0,8820.0,9100.0,8820.0,70880.0
2010.02.02,8990.0,110.0,9100.0,9310.0,8990.0,71736.0
2010.02.03,9200.0,210.0,9030.0,9240.0,9030.0,47994.0
2010.02.04,9230.0,30.0,9400.0,9440.0,9150.0,45451.0
2010.02.05,9150.0,80.0,9030.0,9980.0,8710.0,499374.0
2010.02.08,9010.0,140.0,9260.0,9300.0,9000.0,112326.0
2010.02.09,9050.0,40.0,8900.0,9150.0,8900.0,49940.0
2010.02.10,9170.0,120.0,9050.0,9230.0,9030.0,62990.0
2010.02.11,9190.0,20.0,9040.0,9350.0,9040.0,45438.0
2010.02.12,9610.0,420.0,9210.0,9900.0,9210.0,221231.0
2010.02.16,9700.0,90.0,9360.0,9850.0,9360.0,68983.0
2010.02.17,9750.0,50.0,9870.0,10100.0,9730.0,144370.0
2010.02.18,9790.0,40.0,9810.0,9900.0,9690.0,53495.0
2010.02.19,10350.0,560.0,9860.0,11000.0,9790.0,845417.0
2010.02.22,10100.0,250.0,10500.0,10600.0,9980.0,263433.0
2010.02.23,10800.0,700.0,10250.0,11400.0,10250.0,851520.0
2010.02.24,10600.0,200.0,10650.0,10650.0,10350.0,157866.0
2010.02.25,10150.0,450.0,10650.0,10650.0,10150.0,138419.0
2010.02.26,10300.0,150.0,10000.0,10350.0,9900.0,107266.0
2010.03.02,10550.0,250.0,10400.0,11050.0,10350.0,353405.0
2010.03.03,10400.0,150.0,10550.0,10800.0,10300.0,119779.0
2010.03.04,10200.0,200.0,10350.0,10500.0,10150.0,107475.0
2010.03.05,10250.0,50.0,10300.0,10450.0,10150.0,91479.0
2010.03.08,10250.0,0.0,10400.0,10450.0,10200.0,102464.0
2010.03.09,10650.0,400.0,10300.0,10700.0,10300.0,107567.0
2010.03.10,10750.0,100.0,10750.0,11000.0,10500.0,129032.0
2010.03.11,11000.0,250.0,10900.0,11200.0,10750.0,174823.0
2010.03.12,11000.0,0.0,11200.0,11250.0,10850.0,143771.0
2010.03.15,10800.0,200.0,11200.0,11200.0,10800.0,110248.0
2010.03.16,10600.0,200.0,10800.0,10800.0,10450.0,112499.0
2010.03.17,10650.0,50.0,10600.0,10800.0,10600.0,67471.0
2010.03.18,10950.0,300.0,10700.0,11000.0,10700.0,81696.0
2010.03.19,10900.0,50.0,11000.0,11150.0,10900.0,84207.0
2010.03.22,10950.0,50.0,10800.0,11000.0,10800.0,49474.0
2010.03.23,10600.0,350.0,11000.0,11000.0,10600.0,88610.0
2010.03.24,10250.0,350.0,10550.0,10700.0,10250.0,104477.0
2010.03.25,10950.0,700.0,10150.0,11050.0,10100.0,200625.0
2010.03.26,11200.0,250.0,10600.0,11300.0,10600.0,119900.0
2010.03.29,11650.0,450.0,11000.0,12150.0,10950.0,558989.0
2010.03.30,11800.0,150.0,11900.0,12100.0,11650.0,123616.0
2010.03.31,11700.0,100.0,11850.0,12800.0,11450.0,682626.0
2010.04.01,12400.0,700.0,11800.0,12450.0,11700.0,231202.0
2010.04.02,13000.0,600.0,12700.0,13200.0,12450.0,452296.0
2010.04.05,13050.0,50.0,13200.0,13550.0,12450.0,291452.0
2010.04.06,12750.0,300.0,13250.0,13250.0,12650.0,163704.0
2010.04.07,12350.0,400.0,12400.0,12900.0,12150.0,193948.0
2010.04.08,12400.0,50.0,12400.0,13650.0,12300.0,899121.0
2010.04.09,12850.0,450.0,12900.0,13050.0,12700.0,334154.0
2010.04.12,14000.0,1150.0,13450.0,14150.0,13300.0,937749.0
