날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,7210.0,140.0,7350.0,7420.0,7200.0,106474.0
2010.01.08,7240.0,30.0,7220.0,7330.0,7220.0,61393.0
2010.01.11,7100.0,140.0,7240.0,7300.0,7070.0,122877.0
2010.01.12,7060.0,40.0,7170.0,7170.0,7030.0,74666.0
2010.01.13,6830.0,230.0,7060.0,7060.0,6830.0,129509.0
2010.01.14,6830.0,0.0,6830.0,6900.0,6710.0,126633.0
2010.01.15,6790.0,40.0,6850.0,6900.0,6770.0,132113.0
2010.01.18,6720.0,70.0,6800.0,6870.0,6680.0,137758.0
2010.01.19,6490.0,230.0,6700.0,6830.0,6490.0,433438.0
2010.01.20,6530.0,40.0,6550.0,6620.0,6490.0,254745.0
2010.01.21,6360.0,170.0,6600.0,6600.0,6310.0,335363.0
2010.01.22,6270.0,90.0,6330.0,6410.0,6190.0,271806.0
2010.01.25,6110.0,160.0,6260.0,6280.0,6050.0,413434.0
2010.01.26,6130.0,20.0,6120.0,6250.0,6080.0,170857.0
2010.01.27,6180.0,50.0,6200.0,6260.0,6100.0,245073.0
2010.01.28,6100.0,80.0,6200.0,6250.0,6100.0,190169.0
2010.01.29,5800.0,300.0,6090.0,6090.0,5800.0,316713.0
2010.02.01,5960.0,160.0,5790.0,6000.0,5790.0,133150.0
2010.02.02,5740.0,220.0,5990.0,6000.0,5700.0,454953.0
2010.02.03,5880.0,140.0,5780.0,5910.0,5750.0,141882.0
2010.02.04,6030.0,150.0,5900.0,6080.0,5850.0,191640.0
2010.02.05,5860.0,170.0,5910.0,5940.0,5770.0,135910.0
2010.02.08,5880.0,20.0,5900.0,6060.0,5870.0,198201.0
2010.02.09,5850.0,30.0,5890.0,5950.0,5820.0,116064.0
2010.02.10,6120.0,270.0,5880.0,6180.0,5860.0,246411.0
2010.02.11,6120.0,0.0,6120.0,6170.0,6060.0,91401.0
2010.02.12,6140.0,20.0,6130.0,6230.0,6010.0,200711.0
2010.02.16,6190.0,50.0,6130.0,6260.0,6100.0,72504.0
2010.02.17,6150.0,40.0,6200.0,6240.0,6120.0,127113.0
2010.02.18,6090.0,60.0,6180.0,6180.0,6090.0,87176.0
2010.02.19,6010.0,80.0,6100.0,6130.0,6000.0,80973.0
2010.02.22,6140.0,130.0,6030.0,6140.0,6030.0,48602.0
2010.02.23,6140.0,0.0,6130.0,6140.0,6060.0,63656.0
2010.02.24,6060.0,80.0,6100.0,6130.0,6040.0,72365.0
2010.02.25,6000.0,60.0,6060.0,6110.0,5980.0,103023.0
2010.02.26,5980.0,20.0,5960.0,6020.0,5910.0,52960.0
2010.03.02,6020.0,40.0,5990.0,6050.0,5990.0,56724.0
2010.03.03,6040.0,20.0,6050.0,6110.0,6000.0,58050.0
2010.03.04,6010.0,30.0,6080.0,6080.0,5990.0,78875.0
2010.03.05,6040.0,30.0,6030.0,6100.0,6000.0,101413.0
2010.03.08,6050.0,10.0,6080.0,6080.0,6000.0,139746.0
2010.03.09,6120.0,70.0,6050.0,6150.0,6010.0,200205.0
2010.03.10,6210.0,90.0,6150.0,6220.0,6100.0,164636.0
2010.03.11,6400.0,190.0,6250.0,6450.0,6180.0,314325.0
2010.03.12,6380.0,20.0,6460.0,6470.0,6320.0,127525.0
2010.03.15,6320.0,60.0,6380.0,6430.0,6270.0,95135.0
2010.03.16,6350.0,30.0,6300.0,6370.0,6220.0,109220.0
2010.03.17,6320.0,30.0,6390.0,6420.0,6320.0,102159.0
2010.03.18,6300.0,20.0,6370.0,6380.0,6290.0,93188.0
2010.03.19,6210.0,90.0,6300.0,6310.0,6210.0,103096.0
2010.03.22,6160.0,50.0,6230.0,6260.0,6160.0,74779.0
2010.03.23,6100.0,60.0,6200.0,6210.0,6090.0,140515.0
2010.03.24,6040.0,60.0,6150.0,6150.0,5990.0,167699.0
2010.03.25,6040.0,0.0,6020.0,6080.0,6000.0,118781.0
2010.03.26,6040.0,0.0,6010.0,6050.0,5990.0,117495.0
2010.03.29,5970.0,70.0,5970.0,6030.0,5960.0,127614.0
2010.03.30,6000.0,30.0,6020.0,6060.0,5960.0,90022.0
2010.03.31,6000.0,0.0,6000.0,6020.0,5970.0,34350.0
2010.04.01,6080.0,80.0,6010.0,6100.0,6010.0,68406.0
2010.04.02,5990.0,90.0,6120.0,6160.0,5980.0,153896.0
2010.04.05,5840.0,150.0,6000.0,6030.0,5820.0,173631.0
2010.04.06,5980.0,140.0,5840.0,6000.0,5840.0,83820.0
2010.04.07,6050.0,70.0,5960.0,6070.0,5940.0,90402.0
2010.04.08,6080.0,30.0,6050.0,6100.0,6030.0,78634.0
2010.04.09,5990.0,90.0,6070.0,6080.0,5990.0,73550.0
2010.04.12,6000.0,10.0,5990.0,6050.0,5960.0,60020.0
2010.04.13,5980.0,20.0,6060.0,6070.0,5970.0,68942.0
2010.04.14,5990.0,10.0,6000.0,6040.0,5980.0,53981.0
2010.04.15,6050.0,60.0,6010.0,6090.0,6000.0,60402.0
2010.04.16,6010.0,40.0,6050.0,6050.0,5990.0,48580.0
2010.04.19,5940.0,70.0,6000.0,6020.0,5940.0,61233.0
2010.04.20,6140.0,200.0,6000.0,6140.0,5950.0,163713.0
2010.04.21,6280.0,140.0,6170.0,6280.0,6100.0,222058.0
2010.04.22,6240.0,40.0,6280.0,6280.0,6170.0,76462.0
2010.04.23,6200.0,40.0,6230.0,6250.0,6170.0,70342.0
2010.04.26,6220.0,20.0,6250.0,6250.0,6090.0,106965.0
2010.04.27,6200.0,20.0,6230.0,6240.0,6110.0,120510.0
2010.04.28,6010.0,190.0,6120.0,6140.0,6010.0,145015.0
2010.04.29,5980.0,30.0,6070.0,6080.0,5950.0,78862.0
2010.04.30,5980.0,0.0,6000.0,6050.0,5950.0,75287.0
2010.05.03,5900.0,80.0,5960.0,5970.0,5860.0,94384.0
2010.05.04,5910.0,10.0,5890.0,6010.0,5810.0,125784.0
2010.05.06,5790.0,120.0,5860.0,5870.0,5790.0,72218.0
2010.05.07,5580.0,210.0,5670.0,5700.0,5540.0,141668.0
2010.05.10,5700.0,120.0,5590.0,5770.0,5590.0,90704.0
2010.05.11,5670.0,30.0,5750.0,5750.0,5650.0,77403.0
2010.05.12,5640.0,30.0,5660.0,5730.0,5640.0,53696.0
2010.05.13,5680.0,40.0,5660.0,5730.0,5660.0,63562.0
2010.05.14,5650.0,30.0,5640.0,5670.0,5580.0,97669.0
2010.05.17,5350.0,300.0,5600.0,5630.0,5350.0,197532.0
2010.05.18,5590.0,240.0,5410.0,5590.0,5330.0,118400.0
2010.05.19,5430.0,160.0,5500.0,5540.0,5430.0,52822.0
2010.05.20,5250.0,180.0,5380.0,5450.0,5200.0,70838.0
2010.05.24,5110.0,140.0,5140.0,5200.0,5040.0,214467.0
2010.05.25,4640.0,470.0,4920.0,4970.0,4620.0,450422.0
2010.05.26,4630.0,10.0,4690.0,4735.0,4580.0,122614.0
2010.05.27,4720.0,90.0,4685.0,4760.0,4630.0,86239.0
2010.05.28,4980.0,260.0,4795.0,5000.0,4720.0,137011.0
2010.05.31,5400.0,420.0,4950.0,5590.0,4935.0,268976.0
2010.06.01,5460.0,60.0,5430.0,5610.0,5270.0,131927.0
2010.06.03,5660.0,200.0,5400.0,5970.0,5380.0,307241.0
2010.06.04,5710.0,50.0,5660.0,5800.0,5660.0,89701.0
2010.06.07,5720.0,10.0,5510.0,5790.0,5370.0,255860.0
2010.06.08,5700.0,20.0,5750.0,5790.0,5680.0,41250.0
2010.06.09,5730.0,30.0,5740.0,5770.0,5640.0,40231.0
2010.06.10,5550.0,180.0,5780.0,5780.0,5550.0,84005.0
2010.06.11,5650.0,100.0,5580.0,5700.0,5520.0,64509.0
2010.06.14,5500.0,150.0,5680.0,5680.0,5490.0,92173.0
2010.06.15,5440.0,60.0,5470.0,5580.0,5380.0,84568.0
2010.06.16,5490.0,50.0,5410.0,5500.0,5390.0,65850.0
2010.06.17,5480.0,10.0,5500.0,5520.0,5400.0,20494.0
2010.06.18,5390.0,90.0,5480.0,5500.0,5390.0,80871.0
2010.06.21,5380.0,10.0,5380.0,5450.0,5370.0,70845.0
2010.06.22,5390.0,10.0,5430.0,5460.0,5380.0,44384.0
2010.06.23,5350.0,40.0,5390.0,5440.0,5350.0,37645.0
2010.06.24,5520.0,170.0,5360.0,5530.0,5350.0,56669.0
2010.06.25,5470.0,50.0,5520.0,5540.0,5440.0,29987.0
2010.06.28,5380.0,90.0,5480.0,5500.0,5380.0,57190.0
2010.06.29,5320.0,60.0,5390.0,5400.0,5250.0,87338.0
2010.06.30,5320.0,0.0,5250.0,5320.0,5220.0,33476.0
2010.07.01,5180.0,140.0,5340.0,5340.0,5180.0,64090.0
2010.07.02,4975.0,205.0,5240.0,5240.0,4975.0,211168.0
2010.07.05,5060.0,85.0,5050.0,5100.0,4975.0,44104.0
2010.07.06,5010.0,50.0,5010.0,5110.0,4990.0,46554.0
2010.07.07,4905.0,105.0,5000.0,5010.0,4900.0,119621.0
