날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,3655.0,30.0,3690.0,3705.0,3640.0,43810.0
2010.01.08,3685.0,30.0,3650.0,3770.0,3650.0,52980.0
2010.01.11,3640.0,45.0,3690.0,3690.0,3630.0,82585.0
2010.01.12,3640.0,0.0,3630.0,3690.0,3600.0,36089.0
2010.01.13,3560.0,80.0,3625.0,3665.0,3550.0,48270.0
2010.01.14,3580.0,20.0,3565.0,3595.0,3550.0,19620.0
2010.01.15,3690.0,110.0,3590.0,3690.0,3565.0,49839.0
2010.01.18,3690.0,0.0,3670.0,3705.0,3635.0,37460.0
2010.01.19,3680.0,10.0,3650.0,3710.0,3600.0,56990.0
2010.01.20,3780.0,100.0,3670.0,3850.0,3665.0,199864.0
2010.01.21,3780.0,0.0,3785.0,3800.0,3730.0,74940.0
2010.01.22,3770.0,10.0,3795.0,3795.0,3690.0,74955.0
2010.01.25,3665.0,105.0,3685.0,3735.0,3575.0,53610.0
2010.01.26,3550.0,115.0,3620.0,3665.0,3490.0,69778.0
2010.01.27,3445.0,105.0,3550.0,3550.0,3445.0,61720.0
2010.01.28,3550.0,105.0,3415.0,3550.0,3415.0,24028.0
2010.01.29,3430.0,120.0,3460.0,3550.0,3355.0,39476.0
2010.02.01,3380.0,50.0,3430.0,3430.0,3380.0,27096.0
2010.02.02,3335.0,45.0,3400.0,3410.0,3330.0,45285.0
2010.02.03,3460.0,125.0,3345.0,3460.0,3345.0,25697.0
2010.02.04,3390.0,70.0,3430.0,3490.0,3370.0,32489.0
2010.02.05,3205.0,185.0,3300.0,3310.0,3115.0,105654.0
2010.02.08,3160.0,45.0,3205.0,3230.0,3140.0,31771.0
2010.02.09,3220.0,60.0,3055.0,3225.0,3055.0,47866.0
2010.02.10,3180.0,40.0,3270.0,3275.0,3175.0,20664.0
2010.02.11,3240.0,60.0,3180.0,3240.0,3180.0,21880.0
2010.02.12,3240.0,0.0,3210.0,3255.0,3185.0,17139.0
2010.02.16,3270.0,30.0,3240.0,3275.0,3230.0,23220.0
2010.02.17,3280.0,10.0,3275.0,3300.0,3150.0,29852.0
2010.02.18,3255.0,25.0,3300.0,3300.0,3235.0,10318.0
2010.02.19,3235.0,20.0,3260.0,3280.0,3200.0,32420.0
2010.02.22,3295.0,60.0,3240.0,3295.0,3190.0,31520.0
2010.02.23,3335.0,40.0,3240.0,3335.0,3240.0,28710.0
2010.02.24,3300.0,35.0,3320.0,3320.0,3260.0,23700.0
2010.02.25,3285.0,15.0,3255.0,3315.0,3240.0,44570.0
2010.02.26,3200.0,85.0,3240.0,3270.0,3200.0,22972.0
2010.03.02,3165.0,35.0,3210.0,3230.0,3165.0,26477.0
2010.03.03,3155.0,10.0,3160.0,3205.0,3155.0,20100.0
2010.03.04,3200.0,45.0,3160.0,3250.0,3160.0,32850.0
2010.03.05,3205.0,5.0,3200.0,3250.0,3190.0,26208.0
2010.03.08,3225.0,20.0,3225.0,3300.0,3220.0,46628.0
2010.03.09,3310.0,85.0,3225.0,3320.0,3225.0,48270.0
2010.03.10,3290.0,20.0,3305.0,3400.0,3270.0,42798.0
2010.03.11,3320.0,30.0,3290.0,3330.0,3245.0,27970.0
2010.03.12,3290.0,30.0,3370.0,3370.0,3290.0,19162.0
2010.03.15,3220.0,70.0,3210.0,3285.0,3210.0,42800.0
2010.03.16,3265.0,45.0,3230.0,3285.0,3230.0,19030.0
2010.03.17,3300.0,35.0,3245.0,3310.0,3245.0,27770.0
