날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,34150.0,300.0,33850.0,34450.0,33850.0,670.0
2010.01.08,34000.0,150.0,34150.0,34150.0,33300.0,250.0
2010.01.11,34300.0,300.0,33350.0,34300.0,33350.0,140.0
2010.01.12,34200.0,0.0,34200.0,34200.0,34200.0,0.0
2010.01.13,33400.0,800.0,33500.0,33950.0,33050.0,270.0
2010.01.14,33100.0,300.0,33500.0,34400.0,33100.0,110.0
2010.01.15,33400.0,300.0,33100.0,33400.0,32300.0,1150.0
2010.01.18,33800.0,400.0,34200.0,34200.0,33200.0,230.0
2010.01.19,32750.0,1050.0,33050.0,33050.0,32750.0,950.0
2010.01.20,32500.0,250.0,32350.0,32900.0,32000.0,1220.0
2010.01.21,32900.0,400.0,33700.0,33700.0,32450.0,82.0
2010.01.22,32900.0,0.0,33500.0,33500.0,32000.0,580.0
2010.01.25,32400.0,500.0,32500.0,33900.0,32050.0,1110.0
2010.01.26,32300.0,100.0,32900.0,32900.0,32000.0,190.0
2010.01.27,31800.0,500.0,31550.0,32600.0,31550.0,643.0
2010.01.28,31900.0,100.0,33400.0,33400.0,31400.0,620.0
2010.01.29,30550.0,1350.0,31300.0,31750.0,30550.0,629.0
2010.02.01,30550.0,0.0,31300.0,31300.0,30450.0,240.0
2010.02.02,30800.0,250.0,30200.0,30800.0,30000.0,711.0
2010.02.03,30950.0,150.0,30850.0,30950.0,30600.0,291.0
2010.02.04,31300.0,350.0,31300.0,31300.0,31300.0,10.0
2010.02.05,30700.0,600.0,32500.0,32500.0,28550.0,271.0
2010.02.08,30750.0,0.0,30750.0,30750.0,30750.0,0.0
2010.02.09,29950.0,800.0,31750.0,31750.0,29350.0,330.0
2010.02.10,30450.0,500.0,30500.0,30500.0,29500.0,400.0
2010.02.11,30400.0,50.0,32950.0,32950.0,29800.0,206.0
2010.02.12,31450.0,1050.0,30850.0,31450.0,30100.0,120.0
2010.02.16,30900.0,550.0,30900.0,30900.0,30900.0,10.0
2010.02.17,31000.0,100.0,30900.0,33150.0,30650.0,1330.0
2010.02.18,30500.0,500.0,30350.0,31100.0,30050.0,1181.0
2010.02.19,30900.0,400.0,30300.0,30900.0,30300.0,60.0
2010.02.22,30850.0,50.0,30350.0,30850.0,30350.0,50.0
2010.02.23,30000.0,850.0,31500.0,31500.0,30000.0,280.0
2010.02.24,30000.0,0.0,30000.0,30000.0,29950.0,290.0
2010.02.25,30400.0,400.0,30000.0,30400.0,29600.0,220.0
2010.02.26,30400.0,0.0,30000.0,30400.0,30000.0,40.0
2010.03.02,30450.0,50.0,30100.0,30650.0,30100.0,30.0
2010.03.03,30600.0,150.0,30050.0,30600.0,30050.0,50.0
2010.03.04,30000.0,600.0,31400.0,31400.0,30000.0,390.0
2010.03.05,30000.0,0.0,30000.0,30050.0,30000.0,220.0
2010.03.08,29150.0,850.0,30550.0,30550.0,29000.0,1941.0
2010.03.09,30200.0,1050.0,29400.0,30200.0,29400.0,360.0
2010.03.10,29500.0,700.0,29850.0,29900.0,29500.0,198.0
2010.03.11,29400.0,100.0,29650.0,30100.0,29400.0,200.0
2010.03.12,29300.0,100.0,29150.0,29700.0,29000.0,4051.0
2010.03.15,29200.0,100.0,29000.0,29350.0,29000.0,150.0
2010.03.16,29950.0,750.0,28900.0,29950.0,28900.0,310.0
2010.03.17,30650.0,700.0,29950.0,30950.0,29900.0,1337.0
2010.03.18,30700.0,50.0,30650.0,31000.0,30650.0,843.0
2010.03.19,30800.0,100.0,30500.0,30950.0,30500.0,767.0
2010.03.22,30900.0,100.0,32000.0,32000.0,30600.0,404.0
2010.03.23,30250.0,650.0,30550.0,30850.0,30000.0,1080.0
2010.03.24,30700.0,450.0,30400.0,30700.0,29900.0,820.0
2010.03.25,30450.0,250.0,30900.0,31000.0,30000.0,1120.0
2010.03.26,31000.0,550.0,30150.0,31300.0,30100.0,4220.0
2010.03.29,30800.0,200.0,31200.0,31200.0,30600.0,240.0
2010.03.30,30950.0,150.0,30550.0,31000.0,30550.0,560.0
2010.03.31,30850.0,100.0,30950.0,31000.0,30750.0,559.0
2010.04.01,31250.0,400.0,31000.0,31250.0,30900.0,815.0
2010.04.02,31000.0,250.0,31050.0,31100.0,31000.0,600.0
2010.04.05,31500.0,500.0,31000.0,31500.0,31000.0,1520.0
2010.04.06,31600.0,100.0,32000.0,32300.0,31100.0,2845.0
2010.04.07,31600.0,0.0,31500.0,31600.0,31500.0,231.0
2010.04.08,31900.0,300.0,31400.0,31900.0,31300.0,451.0
2010.04.09,31650.0,250.0,31600.0,31650.0,31500.0,330.0
2010.04.12,31650.0,0.0,31500.0,31700.0,31100.0,740.0
2010.04.13,31800.0,150.0,31850.0,31850.0,31800.0,20.0
2010.04.14,32300.0,500.0,31800.0,32300.0,31750.0,2467.0
2010.04.15,33100.0,800.0,32300.0,34900.0,32300.0,6010.0
2010.04.16,33400.0,300.0,33800.0,33800.0,33300.0,1990.0
2010.04.19,33400.0,0.0,33400.0,33400.0,33400.0,210.0
2010.04.20,33450.0,50.0,33950.0,33950.0,33100.0,1780.0
2010.04.21,33750.0,300.0,32650.0,33800.0,32650.0,420.0
2010.04.22,33900.0,150.0,33050.0,33900.0,33050.0,830.0
2010.04.23,33900.0,0.0,33550.0,33900.0,33400.0,130.0
2010.04.26,33800.0,100.0,33500.0,33800.0,33200.0,510.0
2010.04.27,33950.0,150.0,34000.0,34000.0,33600.0,1190.0
2010.04.28,33750.0,200.0,34700.0,34700.0,32900.0,800.0
2010.04.29,33700.0,50.0,32900.0,33700.0,32900.0,1390.0
2010.04.30,33700.0,0.0,33400.0,34150.0,33400.0,1170.0
2010.05.03,33900.0,200.0,33700.0,33900.0,33700.0,620.0
2010.05.04,33900.0,0.0,33200.0,34000.0,33100.0,450.0
2010.05.06,33700.0,200.0,32400.0,34000.0,32400.0,250.0
2010.05.07,33650.0,50.0,33700.0,33700.0,32150.0,160.0
2010.05.10,33100.0,550.0,33500.0,33500.0,33100.0,627.0
2010.05.11,32250.0,850.0,32050.0,33050.0,31000.0,950.0
2010.05.12,33250.0,1000.0,34500.0,34500.0,33250.0,160.0
2010.05.13,33050.0,200.0,32050.0,33200.0,32000.0,950.0
2010.05.14,32950.0,100.0,33050.0,34400.0,32500.0,600.0
2010.05.17,32550.0,400.0,33000.0,33400.0,31800.0,990.0
2010.05.18,32000.0,550.0,32550.0,32750.0,31650.0,1111.0
2010.05.19,31900.0,100.0,31300.0,31900.0,31000.0,300.0
2010.05.20,31700.0,200.0,32000.0,33000.0,31700.0,2740.0
2010.05.24,32100.0,400.0,31500.0,32500.0,30750.0,140.0
2010.05.25,30900.0,1200.0,31050.0,31300.0,30100.0,1180.0
2010.05.26,30900.0,0.0,31300.0,31500.0,30300.0,760.0
2010.05.27,30500.0,400.0,30950.0,31000.0,30500.0,830.0
2010.05.28,30300.0,200.0,30600.0,31200.0,30300.0,680.0
2010.05.31,30400.0,100.0,30400.0,30500.0,30400.0,160.0
2010.06.01,30350.0,50.0,30900.0,30900.0,30100.0,580.0
2010.06.03,30700.0,350.0,30750.0,30800.0,30500.0,190.0
2010.06.04,30600.0,100.0,31100.0,31100.0,30600.0,2190.0
2010.06.07,33000.0,2400.0,31200.0,33000.0,30000.0,460.0
2010.06.08,30900.0,2100.0,32800.0,32800.0,30900.0,1340.0
2010.06.09,30800.0,100.0,31650.0,31650.0,30350.0,220.0
2010.06.10,30750.0,50.0,30000.0,30750.0,30000.0,190.0
2010.06.11,31500.0,750.0,31500.0,31500.0,31500.0,30.0
2010.06.14,30500.0,1000.0,30650.0,30650.0,30500.0,350.0
2010.06.15,30400.0,100.0,30800.0,30800.0,30100.0,520.0
2010.06.16,30000.0,400.0,30000.0,30000.0,29600.0,1320.0
2010.06.17,29350.0,650.0,30050.0,30200.0,29000.0,6150.0
2010.06.18,29300.0,50.0,29350.0,30500.0,29250.0,718.0
2010.06.21,29000.0,300.0,29600.0,30000.0,28900.0,1770.0
2010.06.22,29100.0,100.0,29000.0,29100.0,28900.0,590.0
2010.06.23,29000.0,100.0,29000.0,29000.0,28500.0,1631.0
2010.06.24,29000.0,0.0,29200.0,29300.0,28600.0,201.0
2010.06.25,28350.0,650.0,28500.0,29050.0,28350.0,3403.0
2010.06.28,29300.0,950.0,28450.0,29300.0,28250.0,900.0
2010.06.29,28850.0,450.0,28700.0,28900.0,28400.0,80.0
2010.06.30,28450.0,400.0,29250.0,29250.0,28200.0,1811.0
2010.07.01,28400.0,50.0,28050.0,28500.0,28050.0,1921.0
2010.07.02,28350.0,50.0,28200.0,28350.0,27900.0,2945.0
