날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,2325.0,160.0,2165.0,2380.0,2140.0,245288.0
2010.01.08,2250.0,75.0,2400.0,2415.0,2200.0,191095.0
2010.01.11,2200.0,50.0,2255.0,2255.0,2180.0,73652.0
2010.01.12,2160.0,40.0,2150.0,2230.0,2150.0,46840.0
2010.01.13,2130.0,30.0,2150.0,2185.0,2115.0,35851.0
2010.01.14,2200.0,70.0,2200.0,2235.0,2150.0,81670.0
2010.01.15,2225.0,25.0,2230.0,2250.0,2145.0,97061.0
2010.01.18,2225.0,0.0,2240.0,2255.0,2195.0,44594.0
2010.01.19,2300.0,75.0,2225.0,2390.0,2210.0,284795.0
2010.01.20,2280.0,20.0,2300.0,2350.0,2240.0,144124.0
2010.01.21,2200.0,80.0,2270.0,2270.0,2195.0,101861.0
2010.01.22,2155.0,45.0,2180.0,2205.0,2150.0,49013.0
2010.01.25,2085.0,70.0,2145.0,2165.0,2085.0,74811.0
2010.01.26,2110.0,25.0,2120.0,2135.0,2065.0,38492.0
2010.01.27,2115.0,5.0,2085.0,2130.0,2075.0,47068.0
2010.01.28,2090.0,25.0,2115.0,2120.0,2055.0,27955.0
2010.01.29,2080.0,10.0,2085.0,2090.0,2040.0,10870.0
2010.02.01,2095.0,15.0,2090.0,2135.0,2075.0,39712.0
2010.02.02,2090.0,5.0,2095.0,2105.0,2075.0,17980.0
2010.02.03,2095.0,5.0,2095.0,2100.0,2050.0,36296.0
2010.02.04,2095.0,0.0,2085.0,2100.0,2080.0,32627.0
2010.02.05,2000.0,95.0,2060.0,2060.0,1980.0,36294.0
2010.02.08,1980.0,20.0,2030.0,2030.0,1960.0,18991.0
2010.02.09,1980.0,0.0,1950.0,1995.0,1950.0,12170.0
2010.02.10,2005.0,25.0,1980.0,2010.0,1980.0,25914.0
2010.02.11,2015.0,10.0,2040.0,2040.0,2000.0,10286.0
2010.02.12,2015.0,0.0,2050.0,2050.0,1980.0,16751.0
2010.02.16,2020.0,5.0,2015.0,2020.0,1990.0,16962.0
2010.02.17,2010.0,10.0,2020.0,2025.0,2000.0,19474.0
2010.02.18,2010.0,0.0,2020.0,2020.0,2000.0,6789.0
2010.02.19,2040.0,30.0,2010.0,2045.0,2000.0,27986.0
2010.02.22,2050.0,10.0,2020.0,2055.0,2015.0,7744.0
2010.02.23,2050.0,0.0,2050.0,2055.0,2035.0,15732.0
2010.02.24,2045.0,5.0,2050.0,2050.0,2030.0,11128.0
2010.02.25,2040.0,5.0,2060.0,2065.0,2005.0,24584.0
2010.02.26,2050.0,10.0,2050.0,2055.0,2005.0,16965.0
2010.03.02,2050.0,0.0,2030.0,2060.0,2030.0,10735.0
2010.03.03,2050.0,0.0,2060.0,2080.0,2035.0,22991.0
2010.03.04,2065.0,15.0,2070.0,2075.0,2020.0,25308.0
2010.03.05,2065.0,0.0,2065.0,2065.0,2040.0,12874.0
2010.03.08,2065.0,0.0,2080.0,2080.0,2020.0,28572.0
2010.03.09,2060.0,5.0,2080.0,2080.0,2040.0,23009.0
2010.03.10,2055.0,5.0,2060.0,2060.0,2035.0,33180.0
2010.03.11,2045.0,10.0,2055.0,2060.0,2040.0,17233.0
2010.03.12,2045.0,0.0,2050.0,2055.0,2040.0,18426.0
