날짜,종가,전일비,시가,고가,저가,거래량
2010.01.07,6740.0,0.0,6850.0,6850.0,6700.0,33393.0
2010.01.08,6640.0,100.0,6740.0,6740.0,6570.0,40902.0
2010.01.11,6650.0,10.0,6750.0,6750.0,6590.0,32969.0
2010.01.12,6590.0,60.0,6720.0,6720.0,6550.0,30573.0
2010.01.13,6400.0,190.0,6690.0,6690.0,6350.0,49840.0
2010.01.14,6450.0,50.0,6500.0,6500.0,6310.0,12447.0
2010.01.15,6580.0,130.0,6400.0,6580.0,6400.0,13685.0
2010.01.18,6580.0,0.0,6680.0,6680.0,6440.0,13257.0
2010.01.19,6520.0,60.0,6600.0,6650.0,6460.0,34344.0
2010.01.20,6420.0,100.0,6560.0,6560.0,6390.0,26037.0
2010.01.21,6460.0,40.0,6420.0,6540.0,6380.0,26002.0
2010.01.22,6440.0,20.0,6450.0,6500.0,6260.0,17688.0
2010.01.25,6330.0,110.0,6460.0,6460.0,6260.0,28224.0
2010.01.26,6280.0,50.0,6220.0,6310.0,6200.0,20313.0
2010.01.27,6390.0,110.0,6280.0,6470.0,6280.0,18149.0
2010.01.28,6450.0,60.0,6400.0,6450.0,6300.0,20295.0
2010.01.29,6430.0,20.0,6450.0,6580.0,6300.0,10684.0
2010.02.01,6390.0,40.0,6520.0,6520.0,6350.0,28998.0
2010.02.02,6480.0,90.0,6490.0,6490.0,6350.0,34436.0
2010.02.03,6780.0,300.0,6500.0,6870.0,6370.0,82806.0
2010.02.04,6740.0,40.0,6890.0,6890.0,6650.0,21910.0
2010.02.05,6350.0,390.0,6510.0,6510.0,5730.0,46275.0
2010.02.08,6320.0,30.0,6350.0,6420.0,6310.0,11930.0
2010.02.09,6440.0,120.0,6300.0,6440.0,6300.0,19697.0
2010.02.10,6680.0,240.0,6460.0,6760.0,6400.0,113405.0
2010.02.11,6640.0,40.0,6730.0,6800.0,6600.0,35945.0
2010.02.12,6650.0,10.0,6700.0,6700.0,6580.0,33678.0
2010.02.16,6750.0,100.0,6660.0,6760.0,6600.0,47541.0
2010.02.17,6830.0,80.0,6840.0,6970.0,6740.0,68272.0
2010.02.18,6820.0,10.0,6900.0,6900.0,6770.0,18914.0
2010.02.19,6700.0,120.0,6800.0,6870.0,6650.0,33702.0
2010.02.22,6700.0,0.0,6700.0,6750.0,6590.0,32468.0
2010.02.23,6760.0,60.0,6750.0,6800.0,6680.0,34959.0
2010.02.24,6760.0,0.0,6710.0,6820.0,6710.0,23494.0
2010.02.25,7020.0,260.0,6730.0,7280.0,6730.0,123393.0
2010.02.26,7780.0,760.0,7200.0,7950.0,7110.0,317552.0
2010.03.02,7800.0,20.0,7970.0,8160.0,7730.0,184274.0
2010.03.03,7540.0,260.0,7800.0,7910.0,7500.0,107700.0
2010.03.04,7360.0,180.0,7560.0,7730.0,7330.0,85441.0
2010.03.05,7450.0,90.0,7420.0,7570.0,7250.0,65217.0
2010.03.08,7670.0,220.0,7500.0,7690.0,7360.0,74557.0
2010.03.09,7640.0,30.0,7700.0,7750.0,7500.0,51398.0
2010.03.10,7770.0,130.0,7690.0,7820.0,7560.0,56402.0
2010.03.11,7630.0,140.0,7770.0,7840.0,7560.0,45309.0
2010.03.12,7520.0,110.0,7620.0,7620.0,7380.0,49497.0
2010.03.15,7440.0,80.0,7450.0,7510.0,7300.0,31974.0
2010.03.16,7610.0,170.0,7340.0,7800.0,7340.0,54387.0
2010.03.17,7750.0,140.0,7630.0,7840.0,7630.0,64966.0
2010.03.18,8150.0,400.0,7750.0,8470.0,7630.0,203509.0
2010.03.19,7870.0,280.0,8150.0,8260.0,7870.0,53722.0
2010.03.22,7970.0,100.0,7970.0,8000.0,7820.0,22896.0
2010.03.23,8050.0,80.0,8200.0,8230.0,7970.0,29372.0
2010.03.24,7970.0,80.0,7970.0,8130.0,7750.0,36374.0
2010.03.25,7800.0,170.0,8000.0,8000.0,7700.0,17650.0
2010.03.26,7940.0,140.0,7770.0,7940.0,7700.0,62317.0
2010.03.29,8530.0,590.0,8000.0,8880.0,8000.0,396962.0
2010.03.30,8290.0,240.0,8690.0,8700.0,8080.0,236323.0
2010.03.31,8450.0,160.0,8320.0,8670.0,8200.0,163827.0
2010.04.01,8300.0,150.0,8400.0,8670.0,8300.0,79392.0
2010.04.02,8350.0,50.0,8300.0,8360.0,8180.0,67157.0
2010.04.05,8100.0,250.0,8370.0,8370.0,7970.0,69394.0
2010.04.06,8430.0,330.0,8100.0,8460.0,7990.0,59021.0
2010.04.07,8300.0,130.0,8380.0,8530.0,8210.0,32127.0
2010.04.08,8500.0,200.0,8300.0,8590.0,8230.0,53175.0
2010.04.09,8590.0,90.0,8550.0,8600.0,8290.0,50085.0
2010.04.12,8410.0,180.0,8770.0,8780.0,8400.0,33485.0
2010.04.13,8410.0,0.0,8450.0,8500.0,8200.0,42134.0
